Model,Feature,Importance
Cytokines,VEGF,0.0522
Cytokines,TNFa,0.0359
Cytokines,GRO,0.0339
Cytokines,MIP1b,0.0316
Cytokines,IL1Ra,0.0272
Cytokines,MCP-1,0.0239
Cytokines,IP-10,0.0232
Cytokines,IL-8,0.0206
Cytokines,Flt3 Ligand,0.0185
Cytokines,MIP1a,0.0174
Cytometry,HGB Day 0,0.1145
Cytometry,HCT Day 0,0.0732
Cytometry,%LYM Day 0,0.0689
Cytometry,RBC Day 0,0.0681
Cytometry,%GRA Day 0,0.041
Cytometry,WBC Day 0,0.033
Cytometry,%MON Day 0,0.0313
Cytometry,PLT Day 0,0.0302
Clonal Breadth,fraction_sequences_ab,0.1364
Clonal Breadth,fraction_sequences_gd,0.1057
Clonal Depth,uniqueMoleculeFraction_ab,0.4461
Clonal Depth,uniqueMoleculeFraction_gd,0.1003
RNA Data,M14.59.TBD_EXP3,0.0174
RNA Data,M16.21.TBD_EXP3,0.0095
RNA Data,M16.93.TBD_EXP3,0.0091
RNA Data,M15.111.TBD_EXP7,0.008
RNA Data,M13.32.Plasma cells_EXP3,0.0076
RNA Data,M16.97.Cell death_EXP3,0.0074
RNA Data,M14.4.Gene transcription_EXP3,0.0074
RNA Data,M15.31.Protein modification_EXP3,0.0074
RNA Data,M15.14.TBD_EXP3,0.0071
RNA Data,M15.16.Antigen presentation_EXP7,0.0071
